Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
2.527342,AlphaPL_411325,Insert,15,1.0,B,140,128600.0,G,
2.754836,AlphaPL_411325,Cancel,14,,,-60,,,
2.754996,AlphaPL_411325,Cancel,15,,,-140,,,
2.756864,AlphaPL_411325,Insert,16,1.0,A,60,129300.0,G,
2.75692,AlphaPL_411325,Insert,17,1.0,B,140,129000.0,G,
3.040444,AlphaPL_411325,Cancel,16,,,-60,,,
3.040867,AlphaPL_411325,Trade,17,1.0,B,15,129000.0,,-194.0
3.042255,AlphaPL_411325,Insert,18,1.0,A,60,129100.0,G,
3.251218,AlphaPL_411325,Cancel,18,,,-60,,,
3.25131,AlphaPL_411325,Cancel,17,,,-125,,,
3.253461,AlphaPL_411325,Insert,19,1.0,A,75,129000.0,G,
3.253522,AlphaPL_411325,Insert,20,1.0,B,125,128800.0,G,
3.504471,AlphaPL_411325,Cancel,19,,,-75,,,
3.504652,AlphaPL_411325,Cancel,20,,,-125,,,
3.506234,AlphaPL_411325,Insert,21,1.0,A,75,129200.0,G,
3.50633,AlphaPL_411325,Insert,22,1.0,B,125,129100.0,G,
3.799124,AlphaPL_411325,Cancel,21,,,-75,,,
3.800566,AlphaPL_411325,Cancel,22,,,-125,,,
3.803898,AlphaPL_411325,Insert,23,1.0,A,75,128900.0,G,
3.803898,AlphaPL_411325,Trade,23,1.0,A,75,128900.0,,1934.0
3.804264,AlphaPL_411325,Insert,24,1.0,B,125,128700.0,G,
3.967416,AlphaPL_411325,Cancel,24,,,-125,,,
3.969776,AlphaPL_411325,Insert,25,1.0,B,200,128800.0,G,
4.283367,AlphaPL_411325,Cancel,25,,,-200,,,
4.285384,AlphaPL_411325,Insert,26,1.0,B,200,128500.0,G,
4.47787,AlphaPL_411325,Cancel,26,,,-200,,,
4.478922,AlphaPL_411325,Insert,27,1.0,B,200,128600.0,G,
5.052736,AlphaPL_411325,Cancel,27,,,-200,,,
5.054994,AlphaPL_411325,Insert,28,1.0,B,200,128700.0,G,
5.706022,AlphaPL_411325,Cancel,28,,,-200,,,
5.707418,AlphaPL_411325,Insert,29,1.0,B,200,128600.0,G,
5.809593,AlphaPL_411325,Trade,29,1.0,B,30,128600.0,,-386.0
5.95989,AlphaPL_411325,Cancel,29,,,-170,,,
5.960435,AlphaPL_411325,Insert,30,1.0,A,30,128700.0,G,
5.961578,AlphaPL_411325,Insert,31,1.0,B,170,128400.0,G,
6.278527,AlphaPL_411325,Cancel,30,,,-30,,,
6.278646,AlphaPL_411325,Cancel,31,,,-170,,,
6.280365,AlphaPL_411325,Insert,32,1.0,A,30,128500.0,G,
6.28101,AlphaPL_411325,Insert,33,1.0,B,170,128300.0,G,
6.39475,AlphaPL_411325,Trade,33,1.0,B,54,128300.0,,-693.0
7.260757,AlphaPL_411325,Cancel,32,,,-30,,,
7.260825,AlphaPL_411325,Cancel,33,,,-116,,,
7.26216,AlphaPL_411325,Insert,34,1.0,A,84,128300.0,G,
7.262223,AlphaPL_411325,Insert,35,1.0,B,116,128000.0,G,
7.551368,AlphaPL_411325,Cancel,34,,,-84,,,
7.5517,AlphaPL_411325,Cancel,35,,,-116,,,
7.55286,AlphaPL_411325,Insert,36,1.0,A,84,128400.0,G,
7.554062,AlphaPL_411325,Insert,37,1.0,B,116,128100.0,G,
7.767223,AlphaPL_411325,Cancel,36,,,-84,,,
7.767603,AlphaPL_411325,Cancel,37,,,-116,,,
7.768812,AlphaPL_411325,Insert,38,1.0,A,84,128500.0,G,
7.768873,AlphaPL_411325,Insert,39,1.0,B,116,128300.0,G,
8.227845,AlphaPL_411325,Cancel,39,,,-116,,,
8.23483,AlphaPL_411325,Insert,40,1.0,B,116,128400.0,G,
8.235007,AlphaPL_411325,Trade,38,1.0,A,2,128500.0,,-26.0
8.401049,AlphaPL_411325,Trade,38,1.0,A,27,128500.0,,-347.0
8.522365,AlphaPL_411325,Cancel,38,,,-55,,,
8.522693,AlphaPL_411325,Cancel,40,,,-116,,,
8.523964,AlphaPL_411325,Insert,41,1.0,A,55,128600.0,G,
8.524027,AlphaPL_411325,Insert,42,1.0,B,145,128500.0,G,
8.761191,AlphaPL_411325,Cancel,41,,,-55,,,
8.762187,AlphaPL_411325,Insert,43,1.0,A,55,128800.0,G,
8.956028,AlphaPL_411325,Cancel,43,,,-55,,,
8.956317,AlphaPL_411325,Cancel,42,,,-145,,,
8.957794,AlphaPL_411325,Insert,44,1.0,A,55,128900.0,G,
8.957857,AlphaPL_411325,Insert,45,1.0,B,145,128800.0,G,
8.957857,AlphaPL_411325,Trade,45,1.0,B,70,128800.0,,1803.0
9.119072,AlphaPL_411325,Trade,45,1.0,B,28,128800.0,,-361.0
9.528869,AlphaPL_411325,Cancel,44,,,-55,,,
9.53005,AlphaPL_411325,Insert,46,1.0,A,153,129000.0,G,
9.716838,AlphaPL_411325,Trade,46,1.0,A,46,129000.0,,-593.0
9.772353,AlphaPL_411325,Cancel,46,,,-107,,,
9.772411,AlphaPL_411325,Cancel,45,,,-47,,,
9.775099,AlphaPL_411325,Insert,47,1.0,A,107,129100.0,G,
9.775386,AlphaPL_411325,Insert,48,1.0,B,93,129000.0,G,
9.964923,AlphaPL_411325,Cancel,47,,,-107,,,
9.965454,AlphaPL_411325,Cancel,48,,,-93,,,
9.966889,AlphaPL_411325,Insert,49,1.0,A,107,129200.0,G,
9.966954,AlphaPL_411325,Insert,50,1.0,B,93,129100.0,G,
10.03844,AlphaPL_411325,Trade,49,1.0,A,75,129200.0,,-969.0
10.284159,AlphaPL_411325,Cancel,49,,,-32,,,
10.284393,AlphaPL_411325,Cancel,50,,,-93,,,
10.285473,AlphaPL_411325,Insert,51,1.0,A,32,129400.0,G,
10.285531,AlphaPL_411325,Insert,52,1.0,B,168,129200.0,G,
10.544086,AlphaPL_411325,Cancel,51,,,-32,,,
10.54559,AlphaPL_411325,Insert,53,1.0,A,32,129300.0,G,
10.748456,AlphaPL_411325,Cancel,53,,,-32,,,
10.748683,AlphaPL_411325,Cancel,52,,,-168,,,
10.750127,AlphaPL_411325,Insert,54,1.0,A,32,129500.0,G,
10.750198,AlphaPL_411325,Insert,55,1.0,B,168,129300.0,G,
10.957507,AlphaPL_411325,Cancel,55,,,-168,,,
10.959066,AlphaPL_411325,Insert,56,1.0,B,168,129200.0,G,
11.24507,AlphaPL_411325,Cancel,54,,,-32,,,
11.246524,AlphaPL_411325,Insert,57,1.0,A,32,129400.0,G,
11.457027,AlphaPL_411325,Cancel,56,,,-168,,,
11.459165,AlphaPL_411325,Insert,58,1.0,B,168,129100.0,G,
11.712942,AlphaPL_411325,Cancel,58,,,-168,,,
11.714236,AlphaPL_411325,Insert,59,1.0,B,168,129200.0,G,
12.021976,AlphaPL_411325,Cancel,57,,,-32,,,
12.022212,AlphaPL_411325,Cancel,59,,,-168,,,
12.024416,AlphaPL_411325,Insert,60,1.0,A,32,130000.0,G,
12.024484,AlphaPL_411325,Insert,61,1.0,B,168,129800.0,G,
12.024484,AlphaPL_411325,Trade,61,1.0,B,63,129500.0,,1632.0
12.024484,AlphaPL_411325,Trade,61,1.0,B,46,129700.0,,1193.0
12.211152,AlphaPL_411325,Cancel,60,,,-32,,,
12.211232,AlphaPL_411325,Cancel,61,,,-59,,,
12.214286,AlphaPL_411325,Insert,62,1.0,A,141,130200.0,G,
12.214355,AlphaPL_411325,Insert,63,1.0,B,59,130000.0,G,
12.214355,AlphaPL_411325,Trade,63,1.0,B,9,130000.0,,234.0
12.481698,AlphaPL_411325,Trade,63,1.0,B,38,130000.0,,-494.0
12.541493,AlphaPL_411325,Cancel,62,,,-141,,,
12.541601,AlphaPL_411325,Cancel,63,,,-12,,,
12.542847,AlphaPL_411325,Insert,64,1.0,A,188,130000.0,G,
12.542912,AlphaPL_411325,Insert,65,1.0,B,12,129700.0,G,
12.552051,AlphaPL_411325,Trade,65,1.0,B,2,129700.0,,-26.0
12.69462,AlphaPL_411325,Trade,65,1.0,B,10,129700.0,,-130.0
12.746324,AlphaPL_411325,Cancel,64,,,-188,,,
12.747898,AlphaPL_411325,Insert,66,1.0,A,200,129900.0,G,
13.036993,AlphaPL_411325,Cancel,66,,,-200,,,
13.038472,AlphaPL_411325,Insert,67,1.0,A,200,130000.0,G,
13.20715,AlphaPL_411325,Cancel,67,,,-200,,,
13.208469,AlphaPL_411325,Insert,68,1.0,A,200,129800.0,G,
13.46672,AlphaPL_411325,Cancel,68,,,-200,,,
13.473835,AlphaPL_411325,Insert,69,1.0,A,200,129700.0,G,
13.737836,AlphaPL_411325,Cancel,69,,,-200,,,
13.75531,AlphaPL_411325,Insert,70,1.0,A,200,127100.0,G,
13.75531,AlphaPL_411325,Trade,70,1.0,A,3,127100.0,,76.0
13.983331,AlphaPL_411325,Insert,71,1.0,B,3,126900.0,G,
13.983697,AlphaPL_411325,Trade,71,1.0,B,3,126900.0,,-38.0
14.543909,AlphaPL_411325,Cancel,70,,,-197,,,
14.545634,AlphaPL_411325,Insert,72,1.0,A,200,127400.0,G,
14.758018,AlphaPL_411325,Cancel,72,,,-200,,,
14.759072,AlphaPL_411325,Insert,73,1.0,A,200,127200.0,G,
15.253231,AlphaPL_411325,Cancel,73,,,-200,,,
15.254257,AlphaPL_411325,Insert,74,1.0,A,200,127100.0,G,
15.773518,AlphaPL_411325,Cancel,74,,,-200,,,
15.775011,AlphaPL_411325,Insert,75,1.0,A,200,127000.0,G,
16.477349,AlphaPL_411325,Cancel,75,,,-200,,,
16.479434,AlphaPL_411325,Insert,76,1.0,A,200,126600.0,G,
16.479434,AlphaPL_411325,Trade,76,1.0,A,16,126600.0,,405.0
16.707528,AlphaPL_411325,Insert,77,1.0,B,16,126500.0,G,
16.959722,AlphaPL_411325,Cancel,76,,,-184,,,
16.959994,AlphaPL_411325,Cancel,77,,,-16,,,
16.961009,AlphaPL_411325,Insert,78,1.0,A,184,126500.0,G,
16.961069,AlphaPL_411325,Insert,79,1.0,B,16,126400.0,G,
17.262404,AlphaPL_411325,Cancel,78,,,-184,,,
17.262977,AlphaPL_411325,Cancel,79,,,-16,,,
17.26403,AlphaPL_411325,Insert,80,1.0,A,184,126400.0,G,
17.264091,AlphaPL_411325,Insert,81,1.0,B,16,126200.0,G,
17.480979,AlphaPL_411325,Cancel,80,,,-184,,,
17.481252,AlphaPL_411325,Cancel,81,,,-16,,,
17.483582,AlphaPL_411325,Insert,82,1.0,A,184,126500.0,G,
17.483665,AlphaPL_411325,Insert,83,1.0,B,16,126300.0,G,
17.559223,AlphaPL_411325,Trade,82,1.0,A,10,126500.0,,-126.0
17.769191,AlphaPL_411325,Cancel,82,,,-174,,,
17.76948,AlphaPL_411325,Cancel,83,,,-16,,,
17.770388,AlphaPL_411325,Insert,84,1.0,A,174,126800.0,G,
17.770427,AlphaPL_411325,Insert,85,1.0,B,26,126500.0,G,
18.047014,AlphaPL_411325,Cancel,84,,,-174,,,
18.04806,AlphaPL_411325,Insert,86,1.0,A,174,126600.0,G,
18.074017,AlphaPL_411325,Trade,86,1.0,A,30,126600.0,,-380.0
18.233813,AlphaPL_411325,Cancel,86,,,-144,,,
18.234888,AlphaPL_411325,Insert,87,1.0,A,144,126700.0,G,
18.516447,AlphaPL_411325,Cancel,87,,,-144,,,
18.517632,AlphaPL_411325,Insert,88,1.0,A,144,126800.0,G,
18.710693,AlphaPL_411325,Cancel,88,,,-144,,,
18.712322,AlphaPL_411325,Insert,89,1.0,A,144,126700.0,G,
18.980952,AlphaPL_411325,Cancel,89,,,-144,,,
18.981112,AlphaPL_411325,Cancel,85,,,-26,,,
18.982978,AlphaPL_411325,Insert,90,1.0,A,144,126800.0,G,
18.983038,AlphaPL_411325,Insert,91,1.0,B,56,126600.0,G,
19.251999,AlphaPL_411325,Cancel,90,,,-144,,,
19.253004,AlphaPL_411325,Insert,92,1.0,A,144,126900.0,G,
19.474343,AlphaPL_411325,Cancel,91,,,-56,,,
19.476908,AlphaPL_411325,Insert,93,1.0,B,56,126700.0,G,
19.765942,AlphaPL_411325,Cancel,92,,,-144,,,
19.766088,AlphaPL_411325,Cancel,93,,,-56,,,
19.768876,AlphaPL_411325,Insert,94,1.0,A,144,126600.0,G,
19.769082,AlphaPL_411325,Insert,95,1.0,B,56,126300.0,G,
20.252596,AlphaPL_411325,Trade,94,1.0,A,52,126600.0,,-658.0
20.501074,AlphaPL_411325,Cancel,94,,,-92,,,
20.501668,AlphaPL_411325,Insert,96,1.0,A,92,126500.0,G,
20.736607,AlphaPL_411325,Cancel,96,,,-92,,,
20.736775,AlphaPL_411325,Cancel,95,,,-56,,,
20.737657,AlphaPL_411325,Insert,97,1.0,A,92,126400.0,G,
20.737895,AlphaPL_411325,Insert,98,1.0,B,108,126100.0,G,
20.965125,AlphaPL_411325,Cancel,97,,,-92,,,
20.965285,AlphaPL_411325,Cancel,98,,,-108,,,
20.966829,AlphaPL_411325,Insert,99,1.0,A,92,126000.0,G,
20.96692,AlphaPL_411325,Insert,100,1.0,B,108,125800.0,G,
21.217253,AlphaPL_411325,Cancel,99,,,-92,,,
21.217363,AlphaPL_411325,Cancel,100,,,-108,,,
21.218525,AlphaPL_411325,Insert,101,1.0,A,92,126100.0,G,
21.218574,AlphaPL_411325,Insert,102,1.0,B,108,125900.0,G,
21.483883,AlphaPL_411325,Cancel,101,,,-92,,,
21.484077,AlphaPL_411325,Cancel,102,,,-108,,,
21.485512,AlphaPL_411325,Insert,103,1.0,A,92,126300.0,G,
21.485545,AlphaPL_411325,Insert,104,1.0,B,108,126100.0,G,
21.737814,AlphaPL_411325,Cancel,103,,,-92,,,
21.739244,AlphaPL_411325,Insert,105,1.0,A,92,126400.0,G,
21.987695,AlphaPL_411325,Cancel,105,,,-92,,,
21.988097,AlphaPL_411325,Cancel,104,,,-108,,,
21.989432,AlphaPL_411325,Insert,106,1.0,A,92,126200.0,G,
21.989469,AlphaPL_411325,Insert,107,1.0,B,108,126000.0,G,
22.215891,AlphaPL_411325,Cancel,106,,,-92,,,
22.215979,AlphaPL_411325,Cancel,107,,,-108,,,
22.216966,AlphaPL_411325,Insert,108,1.0,A,92,126400.0,G,
22.217003,AlphaPL_411325,Insert,109,1.0,B,108,126100.0,G,
22.229707,AlphaPL_411325,Trade,109,1.0,B,27,126100.0,,-340.0
22.465927,AlphaPL_411325,Cancel,108,,,-92,,,
22.466078,AlphaPL_411325,Cancel,109,,,-81,,,
22.467206,AlphaPL_411325,Insert,110,1.0,A,119,126600.0,G,
22.467409,AlphaPL_411325,Insert,111,1.0,B,81,126400.0,G,
22.994352,AlphaPL_411325,Cancel,111,,,-81,,,
22.997453,AlphaPL_411325,Insert,112,1.0,B,81,126300.0,G,
23.297921,AlphaPL_411325,Cancel,110,,,-119,,,
23.298122,AlphaPL_411325,Cancel,112,,,-81,,,
23.299329,AlphaPL_411325,Insert,113,1.0,A,119,126500.0,G,
23.299368,AlphaPL_411325,Insert,114,1.0,B,81,126200.0,G,
23.538133,AlphaPL_411325,Cancel,114,,,-81,,,
23.539208,AlphaPL_411325,Insert,115,1.0,B,81,126300.0,G,
23.791211,AlphaPL_411325,Cancel,113,,,-119,,,
23.791964,AlphaPL_411325,Insert,116,1.0,A,119,126600.0,G,
23.940902,AlphaPL_411325,Trade,116,1.0,A,1,126600.0,,-13.0
24.036561,AlphaPL_411325,Cancel,115,,,-81,,,
24.037922,AlphaPL_411325,Insert,117,1.0,B,82,126400.0,G,
24.213628,AlphaPL_411325,Cancel,116,,,-118,,,
24.213975,AlphaPL_411325,Cancel,117,,,-82,,,
24.216037,AlphaPL_411325,Insert,118,1.0,A,118,127100.0,G,
24.216072,AlphaPL_411325,Insert,119,1.0,B,82,126900.0,G,
24.216072,AlphaPL_411325,Trade,119,1.0,B,23,126900.0,,584.0
24.220506,AlphaPL_411325,Trade,119,1.0,B,59,126900.0,,-749.0
24.525264,AlphaPL_411325,Cancel,118,,,-118,,,
24.539973,AlphaPL_411325,Insert,120,1.0,A,200,127000.0,G,
25.286358,AlphaPL_411325,Cancel,120,,,-200,,,
25.288841,AlphaPL_411325,Insert,121,1.0,A,200,126600.0,G,
25.288841,AlphaPL_411325,Trade,121,1.0,A,21,126600.0,,532.0
25.467278,AlphaPL_411325,Insert,122,1.0,B,21,126400.0,G,
25.777148,AlphaPL_411325,Cancel,121,,,-179,,,
25.777334,AlphaPL_411325,Cancel,122,,,-21,,,
25.778544,AlphaPL_411325,Insert,123,1.0,A,179,127000.0,G,
25.778668,AlphaPL_411325,Insert,124,1.0,B,21,126700.0,G,
25.778668,AlphaPL_411325,Trade,124,1.0,B,21,126700.0,,532.0
26.012481,AlphaPL_411325,Cancel,123,,,-179,,,
26.013195,AlphaPL_411325,Insert,125,1.0,A,200,127100.0,G,
26.26512,AlphaPL_411325,Cancel,125,,,-200,,,
26.265856,AlphaPL_411325,Insert,126,1.0,A,200,127200.0,G,
26.739965,AlphaPL_411325,Cancel,126,,,-200,,,
26.741208,AlphaPL_411325,Insert,127,1.0,A,200,127100.0,G,
27.286163,AlphaPL_411325,Cancel,127,,,-200,,,
27.287021,AlphaPL_411325,Insert,128,1.0,A,200,126900.0,G,
27.330647,AlphaPL_411325,Trade,128,1.0,A,50,126900.0,,-634.0
27.552119,AlphaPL_411325,Cancel,128,,,-150,,,
27.552198,AlphaPL_411325,Insert,129,1.0,B,50,126400.0,G,
27.553107,AlphaPL_411325,Insert,130,1.0,A,150,126600.0,G,
28.015284,AlphaPL_411325,Cancel,130,,,-150,,,
28.015391,AlphaPL_411325,Cancel,129,,,-50,,,
28.01627,AlphaPL_411325,Insert,131,1.0,A,150,126500.0,G,
28.016707,AlphaPL_411325,Insert,132,1.0,B,50,126300.0,G,
28.282215,AlphaPL_411325,Cancel,131,,,-150,,,
28.282242,AlphaPL_411325,Cancel,132,,,-50,,,
28.283316,AlphaPL_411325,Insert,133,1.0,A,150,126600.0,G,
28.283357,AlphaPL_411325,Insert,134,1.0,B,50,126400.0,G,
28.5567,AlphaPL_411325,Trade,134,1.0,B,50,126400.0,,-632.0
28.777714,AlphaPL_411325,Cancel,133,,,-150,,,
28.779214,AlphaPL_411325,Insert,135,1.0,A,200,126700.0,G,
28.967179,AlphaPL_411325,Cancel,135,,,-200,,,
28.967733,AlphaPL_411325,Insert,136,1.0,A,200,126500.0,G,
29.229875,AlphaPL_411325,Cancel,136,,,-200,,,
29.232917,AlphaPL_411325,Insert,137,1.0,A,200,126600.0,G,
29.493174,AlphaPL_411325,Cancel,137,,,-200,,,
29.494625,AlphaPL_411325,Insert,138,1.0,A,200,126500.0,G,
29.983623,AlphaPL_411325,Cancel,138,,,-200,,,
29.985569,AlphaPL_411325,Insert,139,1.0,A,200,126600.0,G,
30.214874,AlphaPL_411325,Cancel,139,,,-200,,,
30.215726,AlphaPL_411325,Insert,140,1.0,A,200,126500.0,G,
30.711789,AlphaPL_411325,Cancel,140,,,-200,,,
30.71316,AlphaPL_411325,Insert,141,1.0,A,200,126600.0,G,
30.962503,AlphaPL_411325,Cancel,141,,,-200,,,
30.963707,AlphaPL_411325,Insert,142,1.0,A,200,126700.0,G,
31.30246,AlphaPL_411325,Cancel,142,,,-200,,,
31.304043,AlphaPL_411325,Insert,143,1.0,A,200,126900.0,G,
32.208463,AlphaPL_411325,Cancel,143,,,-200,,,
32.210701,AlphaPL_411325,Insert,144,1.0,A,200,126700.0,G,
33.251288,AlphaPL_411325,Cancel,144,,,-200,,,
33.252902,AlphaPL_411325,Insert,145,1.0,A,200,126900.0,G,
33.549249,AlphaPL_411325,Cancel,145,,,-200,,,
33.550202,AlphaPL_411325,Insert,146,1.0,A,200,127000.0,G,
33.989355,AlphaPL_411325,Cancel,146,,,-200,,,
33.990294,AlphaPL_411325,Insert,147,1.0,A,200,127100.0,G,
34.259916,AlphaPL_411325,Cancel,147,,,-200,,,
34.26089,AlphaPL_411325,Insert,148,1.0,A,200,127000.0,G,
35.053978,AlphaPL_411325,Cancel,148,,,-200,,,
35.055097,AlphaPL_411325,Insert,149,1.0,A,200,127200.0,G,
35.471182,AlphaPL_411325,Cancel,149,,,-200,,,
35.47643,AlphaPL_411325,Insert,150,1.0,A,200,127300.0,G,
35.7267,AlphaPL_411325,Cancel,150,,,-200,,,
35.727954,AlphaPL_411325,Insert,151,1.0,A,200,127200.0,G,
36.534603,AlphaPL_411325,Cancel,151,,,-200,,,
36.535497,AlphaPL_411325,Insert,152,1.0,A,200,127300.0,G,
36.715826,AlphaPL_411325,Cancel,152,,,-200,,,
36.71692,AlphaPL_411325,Insert,153,1.0,A,200,127400.0,G,
37.039634,AlphaPL_411325,Cancel,153,,,-200,,,
37.041037,AlphaPL_411325,Insert,154,1.0,A,200,127200.0,G,
37.21054,AlphaPL_411325,Cancel,154,,,-200,,,
37.213601,AlphaPL_411325,Insert,155,1.0,A,200,127100.0,G,
37.796004,AlphaPL_411325,Cancel,155,,,-200,,,
37.798035,AlphaPL_411325,Insert,156,1.0,A,200,127000.0,G,
37.999099,AlphaPL_411325,Cancel,156,,,-200,,,
38.000469,AlphaPL_411325,Insert,157,1.0,A,200,127400.0,G,
38.280488,AlphaPL_411325,Cancel,157,,,-200,,,
38.281401,AlphaPL_411325,Insert,158,1.0,A,200,127200.0,G,
38.48955,AlphaPL_411325,Cancel,158,,,-200,,,
38.490561,AlphaPL_411325,Insert,159,1.0,A,200,127100.0,G,
38.709867,AlphaPL_411325,Cancel,159,,,-200,,,
38.711326,AlphaPL_411325,Insert,160,1.0,A,200,127300.0,G,
38.990976,AlphaPL_411325,Cancel,160,,,-200,,,
38.992054,AlphaPL_411325,Insert,161,1.0,A,200,127200.0,G,
39.762508,AlphaPL_411325,Cancel,161,,,-200,,,
39.764502,AlphaPL_411325,Insert,162,1.0,A,200,127100.0,G,
39.804742,AlphaPL_411325,Trade,162,1.0,A,24,127100.0,,-305.0
40.024944,AlphaPL_411325,Insert,163,1.0,B,24,126900.0,G,
40.266317,AlphaPL_411325,Cancel,163,,,-24,,,
40.267519,AlphaPL_411325,Insert,164,1.0,B,24,126800.0,G,
40.405023,AlphaPL_411325,Trade,164,1.0,B,24,126800.0,,-304.0
40.420318,AlphaPL_411325,Trade,162,1.0,A,58,127100.0,,-737.0
40.48068,AlphaPL_411325,Insert,165,1.0,B,58,126900.0,G,
40.719224,AlphaPL_411325,Cancel,162,,,-118,,,
40.719407,AlphaPL_411325,Cancel,165,,,-58,,,
40.720775,AlphaPL_411325,Insert,166,1.0,A,142,126900.0,G,
40.720853,AlphaPL_411325,Insert,167,1.0,B,58,126700.0,G,
41.708023,AlphaPL_411325,Trade,167,1.0,B,58,126700.0,,-735.0
42.475907,AlphaPL_411325,Cancel,166,,,-142,,,
42.476776,AlphaPL_411325,Insert,168,1.0,A,200,126800.0,G,
42.793207,AlphaPL_411325,Cancel,168,,,-200,,,
42.794501,AlphaPL_411325,Insert,169,1.0,A,200,126500.0,G,
43.0126,AlphaPL_411325,Cancel,169,,,-200,,,
43.01383,AlphaPL_411325,Insert,170,1.0,A,200,126400.0,G,
43.505708,AlphaPL_411325,Cancel,170,,,-200,,,
43.507032,AlphaPL_411325,Insert,171,1.0,A,200,126600.0,G,
43.787096,AlphaPL_411325,Cancel,171,,,-200,,,
43.789365,AlphaPL_411325,Insert,172,1.0,A,200,126400.0,G,
43.974605,AlphaPL_411325,Cancel,172,,,-200,,,
43.975269,AlphaPL_411325,Insert,173,1.0,A,200,126300.0,G,
44.246129,AlphaPL_411325,Cancel,173,,,-200,,,
44.249004,AlphaPL_411325,Insert,174,1.0,A,200,126500.0,G,
44.495181,AlphaPL_411325,Cancel,174,,,-200,,,
44.496991,AlphaPL_411325,Insert,175,1.0,A,200,126600.0,G,
45.023031,AlphaPL_411325,Cancel,175,,,-200,,,
45.024593,AlphaPL_411325,Insert,176,1.0,A,200,126900.0,G,
45.080509,AlphaPL_411325,Trade,176,1.0,A,94,126900.0,,-1193.0
45.241512,AlphaPL_411325,Cancel,176,,,-106,,,
45.241569,AlphaPL_411325,Insert,177,1.0,B,94,126700.0,G,
45.242841,AlphaPL_411325,Insert,178,1.0,A,106,127000.0,G,
45.317739,AlphaPL_411325,Trade,177,1.0,B,39,126700.0,,-494.0
45.520532,AlphaPL_411325,Cancel,178,,,-106,,,
45.52149,AlphaPL_411325,Insert,179,1.0,A,145,126900.0,G,
45.800219,AlphaPL_411325,Cancel,177,,,-55,,,
45.801146,AlphaPL_411325,Insert,180,1.0,B,55,126600.0,G,
45.885194,AlphaPL_411325,Trade,179,1.0,A,107,126900.0,,-1358.0
45.960211,AlphaPL_411325,Cancel,179,,,-38,,,
45.960238,AlphaPL_411325,Cancel,180,,,-55,,,
45.961718,AlphaPL_411325,Insert,181,1.0,A,38,127100.0,G,
45.961753,AlphaPL_411325,Insert,182,1.0,B,162,126900.0,G,
46.145989,AlphaPL_411325,Trade,182,1.0,B,39,126900.0,,-495.0
46.295021,AlphaPL_411325,Cancel,181,,,-38,,,
46.295302,AlphaPL_411325,Cancel,182,,,-123,,,
46.296832,AlphaPL_411325,Insert,183,1.0,A,77,127000.0,G,
46.296871,AlphaPL_411325,Insert,184,1.0,B,123,126800.0,G,
46.551044,AlphaPL_411325,Cancel,184,,,-123,,,
46.552313,AlphaPL_411325,Insert,185,1.0,B,123,126700.0,G,
46.75644,AlphaPL_411325,Cancel,185,,,-123,,,
